,event_id,sub_id,stim_type,response,speaker_distance,sound_filename
0,15,0,uso,8.895894428152493,12.0,data\stim_files\uso_300ms\uso_300ms_48.wav
0,16,0,uso,2.986803519061584,3.0,data\stim_files\uso_300ms\uso_300ms_35.wav
0,17,0,uso,7.414956011730206,10.0,data\stim_files\uso_300ms\uso_300ms_24.wav
0,18,0,uso,9.115835777126101,9.0,data\stim_files\uso_300ms\uso_300ms_15.wav
0,19,0,uso,5.274193548387097,6.0,data\stim_files\uso_300ms\uso_300ms_46.wav
0,20,0,uso,4.526392961876833,7.0,data\stim_files\uso_300ms\uso_300ms_2.wav
0,21,0,uso,8.001466275659824,8.0,data\stim_files\uso_300ms\uso_300ms_1.wav
0,22,0,uso,6.197947214076247,4.0,data\stim_files\uso_300ms\uso_300ms_6.wav
0,23,0,uso,7.605571847507331,7.0,data\stim_files\uso_300ms\uso_300ms_5.wav
0,24,0,uso,3.045454545454546,3.0,data\stim_files\uso_300ms\uso_300ms_35.wav
0,25,0,uso,5.274193548387097,8.0,data\stim_files\uso_300ms\uso_300ms_24.wav
0,26,0,uso,8.822580645161292,11.0,data\stim_files\uso_300ms\uso_300ms_44.wav
0,27,0,uso,7.048387096774194,12.0,data\stim_files\uso_300ms\uso_300ms_24.wav
0,28,0,uso,6.461876832844575,9.0,data\stim_files\uso_300ms\uso_300ms_46.wav
0,29,0,uso,9.394428152492669,10.0,data\stim_files\uso_300ms\uso_300ms_33.wav
0,30,0,uso,7.825513196480939,6.0,data\stim_files\uso_300ms\uso_300ms_36.wav
0,31,0,uso,5.596774193548388,5.0,data\stim_files\uso_300ms\uso_300ms_39.wav
0,32,0,uso,2.957478005865103,2.0,data\stim_files\uso_300ms\uso_300ms_47.wav
0,0,0,syllable,10.083577712609971,10.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p318_sex-m_text-_three_.wav
0,1,0,syllable,7.986803519061585,8.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p229_sex-m_text-_three_.wav
0,2,0,syllable,7.033724340175954,7.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p229_sex-m_text-_two_.wav
0,3,0,syllable,4.702346041055719,3.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p256_sex-m_text-_five_.wav
0,4,0,syllable,10.03958944281525,9.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p318_sex-m_text-_four_.wav
0,5,0,syllable,10.083577712609971,12.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p229_sex-m_text-_three_.wav
0,6,0,syllable,6.652492668621701,4.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p318_sex-m_text-_six_.wav
0,7,0,syllable,9.482404692082111,6.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p248_sex-f_text-_one_.wav
0,8,0,syllable,4.7756598240469215,2.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p268_sex-f_text-_five_.wav
0,9,0,syllable,9.42375366568915,11.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p245_sex-f_text-_one_.wav
0,10,0,syllable,7.708211143695015,5.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p268_sex-f_text-_five_.wav
0,11,0,syllable,9.834310850439884,10.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p245_sex-f_text-_six_.wav
0,12,0,syllable,8.309384164222875,5.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p248_sex-f_text-_five_.wav
0,13,0,syllable,5.67008797653959,6.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p256_sex-m_text-_four_.wav
0,14,0,syllable,3.734604105571848,2.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p245_sex-f_text-_four_.wav
0,15,0,syllable,3.368035190615836,3.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p245_sex-f_text-_two_.wav
0,16,0,syllable,9.995601173020528,12.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p229_sex-m_text-_nine_.wav
0,17,0,syllable,10.068914956011731,7.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p229_sex-m_text-_nine_.wav
0,18,0,syllable,8.969208211143696,8.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p256_sex-m_text-_eight_.wav
0,19,0,syllable,8.969208211143696,9.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p256_sex-m_text-_one_.wav
0,20,0,syllable,11.5791788856305,11.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p318_sex-m_text-_four_.wav
0,21,0,syllable,7.5469208211143695,4.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p248_sex-f_text-_one_.wav
0,22,0,syllable,11.359237536656892,11.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p248_sex-f_text-_nine_.wav
0,23,0,syllable,10.464809384164223,9.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p248_sex-f_text-_six_.wav
0,24,0,syllable,9.585043988269796,12.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p229_sex-m_text-_one_.wav
0,25,0,syllable,3.631964809384164,2.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p284_sex-f_text-_six_.wav
0,26,0,syllable,10.127565982404693,10.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p268_sex-f_text-_six_.wav
0,27,0,syllable,11.036656891495602,8.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p268_sex-f_text-_two_.wav
0,28,0,syllable,6.901759530791789,4.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p318_sex-m_text-_one_.wav
0,29,0,syllable,8.675953079178885,7.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p256_sex-m_text-_three_.wav
0,30,0,syllable,6.168621700879766,5.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p256_sex-m_text-_six_.wav
0,31,0,syllable,5.479472140762463,3.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p248_sex-f_text-_eight_.wav
0,32,0,syllable,7.3269794721407635,6.0,data\stim_files\tts-numbers_n13_resamp_48828\talker-p256_sex-m_text-_five_.wav
