,event_id,subject_id,timestamp,session_index,plane,setup,task,block,trial_index,stim_number,stim_type,stim_country_ids,stim_sexes,stim_talker_ids,speaker_ids,stim_level,resp_number,is_correct,speaker_distance_mean,speaker_distance_st_dev,reaction_time,spectral_coverage
0,,101,2024-06-21 12:34:55,3,distance,cathedral,numerosity_judgement,99,1,6,countries_forward,"['_Japan_', '_Britain_', '_Yemen_', '_Togo_', '_Cuba_', '_Syria_']","['m', 'f', 'f', 'f', 'm', 'm']","['p229', 'p245', 'p268', 'p284', 'p307', 'p256']","[4, 3, 5, 1, 0, 7]","[89.31368318402099, 89.14911522239515, 90.34149293193902, 86.2038576498559, 84.40078082039426, 91.73820004985969]",2.0,False,5.333333333333333,2.581988897471611,0.8124432563781738,0.7602655771195097
0,,101,2024-06-21 12:34:59,3,distance,cathedral,numerosity_judgement,99,2,2,countries_forward,"['_Yemen_', '_Cuba_']","['f', 'f']","['p248', 'p268']","[4, 5]","[89.31368318402099, 90.34149293193902]",2.0,True,6.5,0.7071067811865476,1.999863624572754,0.6571104301441381
0,,101,2024-06-21 12:35:03,3,distance,cathedral,numerosity_judgement,99,3,4,countries_forward,"['_Togo_', '_Cuba_', '_Congo_', '_Yemen_']","['f', 'f', 'm', 'm']","['p268', 'p245', 'p318', 'p229']","[1, 5, 2, 0]","[86.2038576498559, 90.34149293193902, 87.57049330475357, 84.40078082039426]",4.0,True,4.0,2.160246899469287,1.4686496257781982,0.7917262512768131
0,,101,2024-06-21 12:35:08,3,distance,cathedral,numerosity_judgement,99,4,3,countries_forward,"['_Congo_', '_Tonga_', '_Syria_']","['f', 'm', 'f']","['p245', 'p229', 'p268']","[4, 7, 5]","[89.31368318402099, 91.73820004985969, 90.34149293193902]",2.0,False,7.333333333333333,1.5275252316519465,2.593571901321411,0.8829531267733515
0,,101,2024-06-21 12:35:12,3,distance,cathedral,numerosity_judgement,99,5,5,countries_forward,"['_Peru_', '_Yemen_', '_Syria_', '_Tonga_', '_Belgium_']","['f', 'f', 'f', 'm', 'm']","['p245', 'p248', 'p284', 'p256', 'p307']","[6, 5, 8, 10, 7]","[91.58892582949886, 90.34149293193902, 92.0152836843556, 93.00003341222717, 91.73820004985969]",3.0,False,9.2,1.9235384061671346,1.0624265670776367,0.8523550107819771
0,,101,2024-06-21 12:36:08,3,distance,cathedral,numerosity_judgement,99,0,2,countries_forward,"['_Yemen_', '_Peru_']","['f', 'm']","['p268', 'p307']","[6, 3]","[91.58892582949886, 89.14911522239515]",2.0,True,6.5,2.1213203435596424,1.5155224800109863,0.6054023379866077
0,,101,2024-06-21 12:36:12,3,distance,cathedral,numerosity_judgement,99,1,3,countries_forward,"['_Peru_', '_Cuba_', '_Oman_']","['f', 'm', 'm']","['p245', 'p307', 'p256']","[6, 4, 8]","[91.58892582949886, 89.31368318402099, 92.0152836843556]",2.0,False,8.0,2.0,1.9373681545257568,0.6717966178640336
0,,101,2024-06-21 12:36:17,3,distance,cathedral,numerosity_judgement,99,2,6,countries_forward,"['_Togo_', '_Oman_', '_Sudan_', '_Britain_', '_Peru_', '_Mali_']","['m', 'f', 'm', 'f', 'f', 'm']","['p229', 'p284', 'p318', 'p248', 'p245', 'p256']","[6, 3, 4, 1, 5, 7]","[91.58892582949886, 89.14911522239515, 89.31368318402099, 86.2038576498559, 90.34149293193902, 91.73820004985969]",3.0,False,6.333333333333333,2.160246899469287,1.8123745918273926,0.7633299284984678
0,,101,2024-06-21 12:36:21,3,distance,cathedral,numerosity_judgement,99,3,5,countries_forward,"['_Cuba_', '_Yemen_', '_Congo_', '_Mali_', '_Japan_']","['f', 'f', 'f', 'm', 'm']","['p245', 'p284', 'p268', 'p318', 'p256']","[0, 5, 10, 7, 8]","[84.40078082039426, 90.34149293193902, 93.00003341222717, 91.73820004985969, 92.0152836843556]",4.0,False,8.0,3.8078865529319543,1.4530251026153564,0.8015321756894791
0,,101,2024-06-21 12:36:26,3,distance,cathedral,numerosity_judgement,99,4,4,countries_forward,"['_Yemen_', '_Congo_', '_Japan_', '_Sudan_']","['m', 'm', 'f', 'f']","['p318', 'p307', 'p284', 'p245']","[7, 2, 10, 3]","[91.73820004985969, 87.57049330475357, 93.00003341222717, 89.14911522239515]",5.0,False,7.5,3.696845502136472,2.4176173210144043,0.8673249347406651
